property_id,source_attribution,suburb,state,zip_code,address,property_category,property_subtype,transaction_type,listing_price,monthly_rent,price_per_sqft,security_deposit,move_in_cost,total_sqft,living_sqft,lot_sqft,bedrooms,bathrooms,garage_spaces,year_built,property_status,days_on_market,nearby_amenities,lease_term,pet_policy,parking_availability,date_of_property_listed
P9001,PropertyHub,Braddon,ACT,2612,61 Lygon Rd,Rental Property,House,for sale,979013,2694.55,402.39,2694.55,5389.1,2707,2433,2507,1,1.9,0,2023,rented,150,schools|bus|CBD|parks|tram,,restricted,off-street,3/20/2025
P9001,HomeFinder,Braddon,ACT,2612,61 Lygon Rd,Rental Property,House,for sale,953624,2617.02,391.95,2617.02,5234.04,2707,2433,2507,1,1.9,0,2023,rented,79,tram|bus|shops,,not allowed,garage,3/20/2025
P9001,InvestorNet,Braddon,ACT,2612,61 Lygon Rd,Rental Property,House,for sale,984011,2708.13,404.44,2708.13,5416.26,2707,2433,2507,1,1.9,0,2023,rented,53,university|hospital|shops|bus|parks,,restricted,street parking,3/20/2025
P9002,PropertyHub,Norwood,SA,5067,429 Elizabeth Ct,Condominium/Apartment,Condominium,for sale,726164,,623.32,0,0,1227,1165,1165,1,2.4,2,1996,available,108,tram|university,,restricted,allocated bay,4/4/2025
P9002,HomeFinder,Norwood,SA,5067,429 Elizabeth Ct,Condominium/Apartment,Condominium,for rent,726164,,623.32,0,0,1227,1165,1165,1,2.4,2,1996,sold,153,CBD|beach|tram|hospital|schools,12 months,restricted,off-street,4/4/2025
P9002,InvestorNet,Norwood,SA,5067,429 Elizabeth Ct,Condominium/Apartment,Condominium,for sale,698429,,599.51,0,0,1227,1165,1165,1,2.4,2,1996,active,180,CBD|beach|parks|shops,,not allowed,street parking,4/4/2025
P9003,PropertyHub,Kingston,ACT,2604,171 York Blvd,Rental Property,Apartment,for sale,674537,2177.24,829.69,2177.24,4354.48,856,813,813,5,1.3,0,1978,available,141,hospital|shops|CBD|tram,,allowed,carport,9/10/2024
P9003,HomeFinder,Kingston,ACT,2604,171 York Blvd,Rental Property,Apartment,for sale,702653,2163.78,864.27,2163.78,4327.56,856,813,813,5,1.3,0,1978,pending,4,CBD|train|parks|university|schools,,restricted,carport,9/10/2024
P9003,InvestorNet,Kingston,ACT,2604,171 York Blvd,Rental Property,Apartment,for rent,674301,2211.23,829.4,2211.23,4422.46,856,813,813,5,1.3,0,1978,pending,177,beach|university,12 months,restricted,street parking,9/10/2024
P9004,PropertyHub,Casuarina,NT,810,550 Lygon Ave,Condominium/Apartment,Apartment,for sale,324866,,344.5,0,0,1045,943,943,1,1.5,0,1993,active,54,train|parks|shops|university|CBD,,allowed,street parking,12/14/2024
P9004,HomeFinder,Casuarina,NT,810,550 Lygon Ave,Condominium/Apartment,Apartment,for sale,311949,,330.8,0,0,1045,943,943,1,1.5,0,1993,available,120,beach|parks|tram|CBD|schools,,not allowed,off-street,12/14/2024
P9004,InvestorNet,Casuarina,NT,810,550 Lygon Ave,Condominium/Apartment,Apartment,for rent,327036,,346.8,0,0,1045,943,943,1,1.5,0,1993,available,178,university|schools|bus,12 months,restricted,allocated bay,12/14/2024
P9005,PropertyHub,Woolloongabba,QLD,4102,628 Church Ct,Residential Single-Family,House,for rent,1158535,,531.19,0,0,3497,2181,3497,3,2.3,0,1987,pending,52,shops|schools|university|hospital|train,12 months,restricted,street parking,6/29/2025
P9005,HomeFinder,Woolloongabba,QLD,4102,628 Church Ct,Residential Single-Family,House,for sale,1158847,,531.34,0,0,3497,2181,3497,3,2.3,0,1987,rented,89,shops|CBD|tram|beach|schools,,restricted,carport,6/29/2025
P9005,InvestorNet,Woolloongabba,QLD,4102,628 Church Ct,Residential Single-Family,House,for sale,1174342,,538.44,0,0,3497,2181,3497,3,2.3,0,1987,sold,53,CBD|schools|beach|shops|train,,not allowed,garage,6/29/2025
P9006,PropertyHub,Fitzroy,VIC,3065,155 York Ct,Multi-Family Investment,Multi-Family,for sale,964893,,464.11,0,0,2967,2079,2967,1,3,2,1990,rented,153,shops|train|university|schools|hospital,,not allowed,garage,3/27/2024
P9006,HomeFinder,Fitzroy,VIC,3065,155 York Ct,Multi-Family Investment,Multi-Family,for sale,964893,,464.11,0,0,2967,2079,2967,1,3,2,1990,available,50,schools|parks|bus,,not allowed,off-street,3/27/2024
P9006,InvestorNet,Fitzroy,VIC,3065,155 York Ct,Multi-Family Investment,Multi-Family,for sale,964893,,464.11,0,0,2967,2079,2967,1,3,2,1990,rented,84,university|hospital|train|schools,,restricted,off-street,3/27/2024
P9007,PropertyHub,Fannie Bay,NT,820,634 Lygon Dr,Condominium/Apartment,Condominium,for rent,328932,,330.92,0,0,1032,994,994,5,2.3,1,2014,rented,136,tram|university|schools|CBD|hospital,12 months,allowed,off-street,1/5/2024
P9007,HomeFinder,Fannie Bay,NT,820,634 Lygon Dr,Condominium/Apartment,Condominium,for sale,328932,,330.92,0,0,1032,994,994,5,2.3,1,2014,rented,116,tram|beach,,not allowed,off-street,1/5/2024
P9007,InvestorNet,Fannie Bay,NT,820,634 Lygon Dr,Condominium/Apartment,Condominium,for sale,328932,,330.92,0,0,1032,994,994,5,2.3,1,2014,sold,116,university|bus|parks|beach|tram,,allowed,street parking,1/5/2024
P9008,PropertyHub,Nightcliff,NT,810,260 George Blvd,Rental Property,House,for sale,733140,3227.73,365.66,3227.73,6455.46,2153,2005,2153,4,1.2,2,1984,available,125,bus|train|hospital,,restricted,allocated bay,6/7/2024
P9008,HomeFinder,Nightcliff,NT,810,260 George Blvd,Rental Property,House,for sale,733140,3149.95,365.66,3149.95,6299.9,2153,2005,2153,4,1.2,2,1984,sold,82,shops|schools,,not allowed,off-street,6/7/2024
P9008,InvestorNet,Nightcliff,NT,810,260 George Blvd,Rental Property,House,for sale,733140,3172.76,365.66,3172.76,6345.52,2153,2005,2153,4,1.2,2,1984,available,85,university|tram|CBD|hospital,,allowed,carport,6/7/2024
P9009,PropertyHub,Brunswick,VIC,3056,693 Oxford Blvd,Commercial Property,Office,for sale,693955,,805.05,0,0,862,862,862,0,1,0,2022,rented,132,shops|tram|parks|schools|CBD,,restricted,carport,10/3/2024
P9009,HomeFinder,Brunswick,VIC,3056,693 Oxford Blvd,Commercial Property,Office,for sale,693955,,805.05,0,0,862,862,862,0,1,0,2022,active,69,tram|parks,,not allowed,garage,10/3/2024
P9009,InvestorNet,Brunswick,VIC,3056,693 Oxford Blvd,Commercial Property,Office,for sale,693955,,805.05,0,0,862,862,862,0,1,0,2022,pending,18,tram|beach|schools|train,,restricted,allocated bay,10/3/2024
P9010,PropertyHub,Henley Beach,SA,5022,211 High Blvd,Condominium/Apartment,Condominium,for sale,474006,,959.53,0,0,628,494,494,2,3.3,0,1981,sold,89,parks|schools,,allowed,garage,7/25/2024
P9010,HomeFinder,Henley Beach,SA,5022,211 High Blvd,Condominium/Apartment,Condominium,for sale,474006,,959.53,0,0,628,494,494,2,3.3,0,1981,rented,122,beach|tram|hospital,,not allowed,street parking,7/25/2024
P9010,InvestorNet,Henley Beach,SA,5022,211 High Blvd,Condominium/Apartment,Condominium,for rent,474006,,959.53,0,0,628,494,494,2,3.3,0,1981,rented,79,bus|shops|CBD,12 months,restricted,carport,7/25/2024
P9011,PropertyHub,Kingston,ACT,2604,249 High St,Condominium/Apartment,Condominium,for sale,643905,,1387.73,0,0,482,464,464,3,2.1,0,1970,pending,69,schools|parks|shops|train|university,,allowed,off-street,1/25/2025
P9011,HomeFinder,Kingston,ACT,2604,249 High St,Condominium/Apartment,Condominium,for sale,643905,,1387.73,0,0,482,464,464,3,2.1,0,1970,sold,56,train|schools|shops|bus,,restricted,garage,1/25/2025
P9011,InvestorNet,Kingston,ACT,2604,249 High St,Condominium/Apartment,Condominium,for rent,643905,,1387.73,0,0,482,464,464,3,2.1,0,1970,rented,168,bus|university|schools,12 months,restricted,garage,1/25/2025
P9012,PropertyHub,St Kilda,VIC,3182,399 Smith Ln,Rental Property,House,for sale,1025064,2773.52,445.49,2773.52,5547.04,2704,2301,2704,3,1.8,0,1970,active,132,university|train|schools|hospital|shops,,not allowed,allocated bay,6/7/2024
P9012,HomeFinder,St Kilda,VIC,3182,399 Smith Ln,Rental Property,House,for sale,1047205,2864.2,455.11,2864.2,5728.4,2704,2301,2704,3,1.8,0,1970,active,8,train|shops,,restricted,garage,6/7/2024
P9012,InvestorNet,St Kilda,VIC,3182,399 Smith Ln,Rental Property,House,for sale,1063923,2890.2,462.37,2890.2,5780.4,2704,2301,2704,3,1.8,0,1970,active,161,beach|parks|schools,,allowed,street parking,6/7/2024
P9013,PropertyHub,Hawthorn,VIC,3122,392 Collins Blvd,Condominium/Apartment,Apartment,for rent,687086,,734.85,0,0,999,935,935,1,3.1,0,2011,active,158,tram|train|shops,12 months,not allowed,off-street,8/24/2024
P9013,HomeFinder,Hawthorn,VIC,3122,392 Collins Blvd,Condominium/Apartment,Apartment,for rent,687086,,734.85,0,0,999,935,935,1,3.1,0,2011,rented,146,schools|beach|CBD,12 months,restricted,street parking,8/24/2024
P9013,InvestorNet,Hawthorn,VIC,3122,392 Collins Blvd,Condominium/Apartment,Apartment,for sale,687086,,734.85,0,0,999,935,935,1,3.1,0,2011,pending,173,parks|university|CBD|bus|hospital,,allowed,street parking,8/24/2024
P9014,PropertyHub,Cottesloe,WA,6011,596 Collins Rd,Condominium/Apartment,Apartment,for rent,767553,,821.79,0,0,938,934,934,3,2.1,2,1993,sold,34,tram|shops|bus|beach,12 months,restricted,street parking,1/31/2025
P9014,HomeFinder,Cottesloe,WA,6011,596 Collins Rd,Condominium/Apartment,Apartment,for sale,767553,,821.79,0,0,938,934,934,3,2.1,2,1993,pending,1,beach|hospital|parks|shops|tram,,restricted,street parking,1/31/2025
P9014,InvestorNet,Cottesloe,WA,6011,596 Collins Rd,Condominium/Apartment,Apartment,for rent,745348,,798.02,0,0,938,934,934,3,2.1,2,1993,sold,31,schools|shops|university|hospital,12 months,allowed,street parking,1/31/2025
P9015,PropertyHub,Leederville,WA,6007,53 High Ln,Residential Single-Family,House,for sale,809119,,477.92,0,0,2455,1693,2455,4,2,2,1969,pending,69,university|shops|bus|hospital|train,,allowed,street parking,3/14/2025
P9015,HomeFinder,Leederville,WA,6007,53 High Ln,Residential Single-Family,House,for rent,809119,,477.92,0,0,2455,1693,2455,4,2,2,1969,rented,141,tram|schools|hospital,12 months,not allowed,street parking,3/14/2025
P9015,InvestorNet,Leederville,WA,6007,53 High Ln,Residential Single-Family,House,for sale,809119,,477.92,0,0,2455,1693,2455,4,2,2,1969,sold,125,university|train,,restricted,carport,3/14/2025
P9016,PropertyHub,Stuart Park,NT,820,685 Bourke St,Commercial Property,Office,for sale,437577,,228.02,0,0,1919,1919,1919,0,1,0,1981,pending,20,university|beach|bus,,restricted,street parking,9/23/2024
P9016,HomeFinder,Stuart Park,NT,820,685 Bourke St,Commercial Property,Office,for sale,426142,,222.06,0,0,1919,1919,1919,0,1,0,1981,available,110,university|bus|CBD,,allowed,garage,9/23/2024
P9016,InvestorNet,Stuart Park,NT,820,685 Bourke St,Commercial Property,Office,for sale,436841,,227.64,0,0,1919,1919,1919,0,1,0,1981,sold,143,shops|bus,,restricted,off-street,9/23/2024
P9017,PropertyHub,Subiaco,WA,6008,869 Church St,Rental Property,House,for rent,772943,3371.78,410.27,3371.78,6743.56,4030,1884,4030,4,1.7,0,1996,available,166,hospital|parks|schools|tram|beach,12 months,not allowed,street parking,5/8/2024
P9017,HomeFinder,Subiaco,WA,6008,869 Church St,Rental Property,House,for rent,775202,3345.48,411.47,3345.48,6690.96,4030,1884,4030,4,1.7,0,1996,rented,126,tram|hospital,12 months,restricted,allocated bay,5/8/2024
P9017,InvestorNet,Subiaco,WA,6008,869 Church St,Rental Property,House,for sale,795382,3386.69,422.18,3386.69,6773.38,4030,1884,4030,4,1.7,0,1996,active,58,train|university|tram,,allowed,street parking,5/8/2024
P9018,PropertyHub,Manly,NSW,2095,73 High Dr,Condominium/Apartment,Condominium,for sale,923252,,1341.94,0,0,833,688,688,1,2.6,1,1973,available,67,CBD|schools|university,,restricted,allocated bay,6/24/2025
P9018,HomeFinder,Manly,NSW,2095,73 High Dr,Condominium/Apartment,Condominium,for rent,941586,,1368.58,0,0,833,688,688,1,2.6,1,1973,sold,81,beach|university|bus,12 months,allowed,allocated bay,6/24/2025
P9018,InvestorNet,Manly,NSW,2095,73 High Dr,Condominium/Apartment,Condominium,for sale,887442,,1289.89,0,0,833,688,688,1,2.6,1,1973,available,167,schools|CBD|bus|beach,,allowed,street parking,6/24/2025
P9019,PropertyHub,Norwood,SA,5067,994 Church Ave,Rental Property,House,for sale,849309,2388.51,457.11,2388.51,4777.02,2867,1858,2867,3,2.8,1,2008,available,57,parks|tram|beach|CBD,,allowed,carport,10/26/2024
P9019,HomeFinder,Norwood,SA,5067,994 Church Ave,Rental Property,House,for sale,849309,2341.41,457.11,2341.41,4682.82,2867,1858,2867,3,2.8,1,2008,rented,38,schools|bus|CBD|parks|tram,,allowed,street parking,10/26/2024
P9019,InvestorNet,Norwood,SA,5067,994 Church Ave,Rental Property,House,for sale,849309,2373.02,457.11,2373.02,4746.04,2867,1858,2867,3,2.8,1,2008,available,116,tram|CBD|train|beach,,allowed,carport,10/26/2024
P9020,PropertyHub,Sandy Bay,TAS,7005,81 Oxford St,Commercial Property,Office,for sale,518830,,151.66,0,0,3421,3421,3421,0,1,0,2011,available,32,hospital|shops|parks,,allowed,street parking,1/17/2025
P9020,HomeFinder,Sandy Bay,TAS,7005,81 Oxford St,Commercial Property,Office,for sale,518830,,151.66,0,0,3421,3421,3421,0,1,0,2011,active,122,shops|university|beach,,restricted,carport,1/17/2025
P9020,InvestorNet,Sandy Bay,TAS,7005,81 Oxford St,Commercial Property,Office,for sale,518830,,151.66,0,0,3421,3421,3421,0,1,0,2011,sold,122,hospital|bus,,allowed,street parking,1/17/2025
P9021,PropertyHub,Nightcliff,NT,810,734 Smith Ave,Rental Property,Apartment,for sale,411504,2249,800.59,2249,4498,529,514,514,3,1.5,0,2022,active,60,beach|CBD,,restricted,street parking,12/9/2024
P9021,HomeFinder,Nightcliff,NT,810,734 Smith Ave,Rental Property,Apartment,for rent,411504,2375.54,800.59,2375.54,4751.08,529,514,514,3,1.5,0,2022,pending,128,schools|parks|train,12 months,allowed,allocated bay,12/9/2024
P9021,InvestorNet,Nightcliff,NT,810,734 Smith Ave,Rental Property,Apartment,for rent,411504,2294.07,800.59,2294.07,4588.14,529,514,514,3,1.5,0,2022,available,93,university|bus,12 months,allowed,street parking,12/9/2024
P9022,PropertyHub,Joondalup,WA,6027,99 Victoria Blvd,Condominium/Apartment,Apartment,for rent,763333,,684.6,0,0,1123,1115,1115,4,2.4,1,1975,pending,60,hospital|beach|bus,12 months,not allowed,allocated bay,4/17/2024
P9022,HomeFinder,Joondalup,WA,6027,99 Victoria Blvd,Condominium/Apartment,Apartment,for sale,763333,,684.6,0,0,1123,1115,1115,4,2.4,1,1975,sold,76,CBD|parks|shops|train,,allowed,off-street,4/17/2024
P9022,InvestorNet,Joondalup,WA,6027,99 Victoria Blvd,Condominium/Apartment,Apartment,for rent,763333,,684.6,0,0,1123,1115,1115,4,2.4,1,1975,pending,48,bus|train|parks,12 months,allowed,allocated bay,4/17/2024
P9023,PropertyHub,Kingston,ACT,2604,937 Williams St,Rental Property,House,for sale,957789,2630.97,593.06,2630.97,5261.94,2654,1615,2654,2,2.6,0,2006,pending,154,tram|shops|train,,not allowed,street parking,1/5/2024
P9023,HomeFinder,Kingston,ACT,2604,937 Williams St,Rental Property,House,for sale,988352,2635.31,611.98,2635.31,5270.62,2654,1615,2654,2,2.6,0,2006,active,164,bus|schools|shops|train,,allowed,carport,1/5/2024
P9023,InvestorNet,Kingston,ACT,2604,937 Williams St,Rental Property,House,for rent,990407,2626.33,613.26,2626.33,5252.66,2654,1615,2654,2,2.6,0,2006,active,154,schools|shops|hospital,12 months,allowed,off-street,1/5/2024
P9024,PropertyHub,Glenelg,SA,5045,420 High Ln,Multi-Family Investment,Multi-Family,for rent,918181,,788.82,0,0,3408,1164,3408,1,2,1,2007,active,80,hospital|CBD|schools|university,12 months,not allowed,off-street,6/30/2025
P9024,HomeFinder,Glenelg,SA,5045,420 High Ln,Multi-Family Investment,Multi-Family,for sale,918181,,788.82,0,0,3408,1164,3408,1,2,1,2007,available,104,schools|hospital|train,,allowed,street parking,6/30/2025
P9024,InvestorNet,Glenelg,SA,5045,420 High Ln,Multi-Family Investment,Multi-Family,for sale,936123,,804.23,0,0,3408,1164,3408,1,2,1,2007,available,148,beach|train|university|schools,,not allowed,garage,6/30/2025
P9025,PropertyHub,Sunnybank,QLD,4109,825 Church Ave,Condominium/Apartment,Apartment,for sale,604161,,583.17,0,0,1130,1036,1036,5,1.4,1,1983,available,81,CBD|hospital,,not allowed,garage,6/24/2024
P9025,HomeFinder,Sunnybank,QLD,4109,825 Church Ave,Condominium/Apartment,Apartment,for sale,604161,,583.17,0,0,1130,1036,1036,5,1.4,1,1983,pending,159,CBD|bus|beach|tram|parks,,allowed,carport,6/24/2024
P9025,InvestorNet,Sunnybank,QLD,4109,825 Church Ave,Condominium/Apartment,Apartment,for rent,604161,,583.17,0,0,1130,1036,1036,5,1.4,1,1983,rented,41,shops|tram|train|university|CBD,12 months,allowed,carport,6/24/2024
P9026,PropertyHub,Bondi,NSW,2026,516 York Rd,Condominium/Apartment,Apartment,for sale,833639,,981.91,0,0,965,849,849,5,3.1,1,2006,rented,126,bus|beach|university|hospital|tram,,restricted,street parking,8/19/2025
P9026,HomeFinder,Bondi,NSW,2026,516 York Rd,Condominium/Apartment,Apartment,for sale,833639,,981.91,0,0,965,849,849,5,3.1,1,2006,active,33,hospital|shops|tram|CBD,,not allowed,street parking,8/19/2025
P9026,InvestorNet,Bondi,NSW,2026,516 York Rd,Condominium/Apartment,Apartment,for sale,822589,,968.89,0,0,965,849,849,5,3.1,1,2006,active,163,tram|shops|CBD,,not allowed,garage,8/19/2025
P9027,PropertyHub,Parap,NT,820,163 Smith Dr,Residential Single-Family,House,for rent,734567,,594.79,0,0,1433,1235,1433,4,1.7,0,2008,pending,66,bus|parks|CBD|train|hospital,12 months,allowed,garage,8/14/2024
P9027,HomeFinder,Parap,NT,820,163 Smith Dr,Residential Single-Family,House,for sale,734567,,594.79,0,0,1433,1235,1433,4,1.7,0,2008,available,42,shops|hospital|train|university,,allowed,off-street,8/14/2024
P9027,InvestorNet,Parap,NT,820,163 Smith Dr,Residential Single-Family,House,for sale,753385,,610.03,0,0,1433,1235,1433,4,1.7,0,2008,sold,116,parks|university,,not allowed,street parking,8/14/2024
P9028,PropertyHub,Belconnen,ACT,2617,990 Smith Ln,Rental Property,House,for sale,817743,3136.05,440.83,3136.05,6272.1,2453,1855,2453,3,2.9,1,1979,pending,75,hospital|university|shops|schools|tram,,allowed,street parking,2/19/2024
